city,lat,lng
delhi,28.66,77.23
mumbai,18.9667,72.8333
kolkāta,22.5411,88.3378
bangalore,12.9699,77.598
chennai,13.0825,80.275
hyderabad,17.3667,78.4667
pune,18.5196,73.8553
ahmedabad,23.03,72.58
sūrat,21.17,72.83
lucknow,26.847,80.947
jaipur,26.9167,75.8667
kanpur,26.4725,80.3311
mirzāpur,25.15,82.58
nāgpur,21.1539,79.0831
ghāziābād,28.6667,77.4167
indore,22.7206,75.8472
vadodara,22.3,73.2
vishākhapatnam,17.7333,83.3167
bhopāl,23.25,77.4167
chinchvad,18.6278,73.8131
patna,25.61,85.1414
ludhiāna,30.9083,75.8486
āgra,27.18,78.02
kalyān,19.2502,73.1602
madurai,9.9197,78.1194
jamshedpur,22.8,86.1833
nāsik,20,73.7833
farīdābād,28.4333,77.3167
aurangābād,19.88,75.32
rājkot,22.2969,70.7984
meerut,28.99,77.7
jabalpur,23.1667,79.9333
thāne,19.18,72.9633
dhanbād,23.7928,86.435
allahābād,25.455,81.84
vārānasi,25.3189,83.0128
srīnagar,34.0911,74.8061
amritsar,31.6167,74.85
alīgarh,27.88,78.08
bhiwandi,19.3,73.0667
gwalior,26.215,78.1931
bhilai,21.2167,81.4333
hāora,22.59,88.31
rānchi,23.3556,85.3347
bezwāda,16.5167,80.6167
chandīgarh,30.7353,76.7911
mysore,12.3086,76.6531
raipur,21.2379,81.6337
kota,25.18,75.83
bareilly,28.364,79.415
jodhpur,26.2918,73.0168
coimbatore,11,76.9667
dispur,26.15,91.77
guwāhāti,26.1667,91.7667
solāpur,17.6833,75.9167
trichinopoly,10.8269,78.6928
hubli,15.36,75.125
jalandhar,31.3256,75.5792
bhubaneshwar,20.2644,85.8281
bhayandar,19.3,72.85
morādābād,28.8418,78.7568
kolhāpur,16.7,74.2333
thiruvananthapuram,8.5,76.8997
sahāranpur,29.964,77.546
warangal,17.9756,79.6011
salem,11.65,78.1667
mālegaon,20.55,74.55
kochi,9.9667,76.2833
gorakhpur,26.7611,83.3667
shimoga,13.9304,75.56
tiruppūr,11.1075,77.3398
guntūr,16.3,80.45
raurkela,22.2492,84.8828
mangalore,12.8703,74.8806
nānded,19.15,77.3333
cuttack,20.45,85.8667
chānda,19.95,79.3
dehra dūn,30.318,78.029
durgāpur,23.55,87.32
āsansol,23.6833,86.9667
bhāvnagar,21.765,72.1369
amrāvati,20.9333,77.75
nellore,14.4333,79.9667
ajmer,26.468,74.639
tinnevelly,8.7289,77.7081
bīkaner,28.0181,73.3169
agartala,23.8333,91.2667
ujjain,23.1828,75.7772
jhānsi,25.4486,78.5696
ulhāsnagar,19.2167,73.15
davangere,14.4667,75.9167
jammu,32.7333,74.85
belgaum,15.8667,74.5
gulbarga,17.3333,76.8333
jāmnagar,22.47,70.07
dhūlia,20.9,74.7833
gaya,24.75,85.0167
jalgaon,21.0167,75.5667
kurnool,15.8222,78.035
udaipur,24.5833,73.6833
bellary,15.15,76.915
sāngli,16.8667,74.5667
tuticorin,8.7833,78.1333
